               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  33,            0.027024,           0.0027873,            0.015337,             0.54762,             0.52417,             0.49521,             0.28788,            0.024996,          0.00081518,            0.013357,          5.1401e-06,          5.1401e-06,          5.1401e-06
                  34,            0.028402,           0.0027887,            0.015628,             0.39003,             0.60293,             0.49139,             0.28523,            0.025255,          0.00081912,            0.013409,          4.9117e-06,          4.9117e-06,          4.9117e-06
                  35,            0.027964,           0.0027457,            0.015981,             0.60073,             0.50378,             0.49784,             0.28623,            0.025325,          0.00082673,             0.01371,          4.6852e-06,          4.6852e-06,          4.6852e-06
                  36,            0.027173,           0.0027597,            0.015892,             0.55254,             0.52781,             0.49579,             0.28718,            0.025046,           0.0008107,            0.013284,          4.4612e-06,          4.4612e-06,          4.4612e-06
                  37,             0.02519,           0.0027662,            0.014887,             0.38424,             0.60192,             0.49466,             0.28212,            0.025265,           0.0008181,            0.013365,          4.2403e-06,          4.2403e-06,          4.2403e-06
                  38,            0.028094,           0.0027194,            0.015827,             0.55393,             0.52078,             0.49481,              0.2859,            0.025084,          0.00082287,            0.013206,          4.0232e-06,          4.0232e-06,          4.0232e-06
                  39,            0.028313,           0.0027484,            0.015261,              0.5485,               0.521,             0.49746,             0.28187,            0.025309,          0.00083053,            0.013302,          3.8104e-06,          3.8104e-06,          3.8104e-06
                  40,            0.026573,           0.0027287,            0.015739,             0.54583,             0.55001,             0.50183,             0.28603,            0.025028,           0.0008054,            0.013583,          3.6024e-06,          3.6024e-06,          3.6024e-06
                  41,            0.027125,           0.0026868,            0.015802,             0.55623,             0.52222,             0.50077,             0.28792,            0.024984,          0.00080918,            0.013409,             3.4e-06,             3.4e-06,             3.4e-06
                  42,            0.028119,           0.0027233,            0.016128,              0.5533,             0.51953,             0.49466,             0.28592,            0.025124,          0.00081108,            0.013629,          3.2036e-06,          3.2036e-06,          3.2036e-06
                  43,            0.026645,           0.0027362,            0.015999,             0.36172,             0.62314,             0.49096,              0.2828,            0.025079,          0.00081738,            0.013576,          3.0137e-06,          3.0137e-06,          3.0137e-06
                  44,            0.026883,           0.0028828,            0.015648,             0.54482,              0.5319,             0.49103,             0.28179,            0.025159,          0.00080912,            0.013492,           2.831e-06,           2.831e-06,           2.831e-06
                  45,            0.028761,           0.0027307,            0.015959,             0.61456,             0.50727,             0.49501,             0.28762,            0.025013,          0.00080801,             0.01371,          2.6558e-06,          2.6558e-06,          2.6558e-06
                  46,             0.02735,            0.002841,            0.016086,             0.54909,             0.52047,             0.48855,             0.28316,            0.025139,          0.00080987,            0.013441,          2.4887e-06,          2.4887e-06,          2.4887e-06
                  47,            0.027602,           0.0027962,            0.016032,             0.61303,             0.50688,             0.50074,             0.28598,            0.025114,          0.00080655,            0.013603,          2.3302e-06,          2.3302e-06,          2.3302e-06
                  48,            0.028657,           0.0027259,            0.015966,             0.37857,             0.59911,             0.49033,             0.28271,            0.025364,          0.00082826,            0.013572,          2.1806e-06,          2.1806e-06,          2.1806e-06
                  49,            0.026412,            0.002714,            0.015646,             0.54644,             0.53564,             0.49035,             0.28627,            0.025055,          0.00081437,            0.013727,          2.0403e-06,          2.0403e-06,          2.0403e-06
                  50,            0.027871,           0.0027844,            0.015546,             0.54942,             0.52976,             0.49246,             0.28515,            0.025014,          0.00080956,            0.013482,          1.9098e-06,          1.9098e-06,          1.9098e-06
                  51,            0.027102,           0.0026964,            0.015715,             0.54639,             0.52621,             0.49359,             0.28442,            0.025092,          0.00082389,            0.013397,          1.7895e-06,          1.7895e-06,          1.7895e-06
                  52,            0.028006,           0.0028249,            0.015065,             0.38244,              0.5969,             0.49207,             0.28083,            0.025108,           0.0008059,            0.013442,          1.6796e-06,          1.6796e-06,          1.6796e-06
                  53,            0.027034,           0.0027049,            0.015573,             0.56312,             0.51006,             0.49688,             0.28432,            0.024991,          0.00080638,            0.013297,          1.5804e-06,          1.5804e-06,          1.5804e-06
                  54,            0.028069,           0.0028005,            0.016086,             0.36443,             0.61237,             0.48904,             0.28002,            0.025118,          0.00081318,            0.013504,          1.4922e-06,          1.4922e-06,          1.4922e-06
                  55,            0.027416,           0.0028035,            0.015565,             0.55142,             0.51813,             0.49544,             0.28494,            0.025015,          0.00080666,             0.01352,          1.4154e-06,          1.4154e-06,          1.4154e-06
                  56,            0.028471,           0.0027901,            0.016385,             0.55525,             0.52852,              0.4912,             0.28636,            0.025011,          0.00080142,            0.013461,          1.3499e-06,          1.3499e-06,          1.3499e-06
                  57,            0.027283,           0.0028036,            0.015627,             0.56215,             0.52424,             0.49152,             0.28529,            0.025046,          0.00080123,            0.013676,          1.2962e-06,          1.2962e-06,          1.2962e-06
                  58,            0.026899,           0.0027924,            0.015435,              0.5535,             0.53631,             0.49336,             0.28432,            0.025054,          0.00080133,            0.013532,          1.2542e-06,          1.2542e-06,          1.2542e-06
                  59,            0.029118,           0.0027466,            0.016226,             0.60457,             0.51439,             0.50191,             0.28834,            0.025082,          0.00082091,            0.013067,          1.2241e-06,          1.2241e-06,          1.2241e-06
